Date,VH
2018-9-5,-15.916645750970185
2018-9-10,-15.973998513384773
2018-9-10,-15.973998513384773
2018-9-11,-15.922889658155299
2018-9-11,-15.922889658155299
2018-9-16,-15.376779011706107
2018-9-16,-15.376779011706112
2018-9-17,-15.266115120005276
2018-9-17,-15.266115120005276
2018-9-22,-15.084718262136736
2018-9-22,-15.08471826213674
2018-9-23,-15.14186386988735
2018-9-23,-15.14186386988735
2018-9-28,-15.807334001025408
2018-9-28,-15.807334001025415
2018-9-29,-15.972353528725504
2018-9-29,-15.972353528725508
2018-10-4,-16.428220718496956
2018-10-4,-16.42822071849696
2018-10-5,-16.398713209852325
2018-10-5,-16.39871320985233
2018-10-10,-16.012103359654773
2018-10-10,-16.01210335965478
2018-10-11,-15.99044848313862
2018-10-11,-15.99044848313862
2018-10-16,-16.329069773819842
2018-10-16,-16.329069773819853
2018-10-17,-16.415621922508965
2018-10-17,-16.415621922508965
2018-10-22,-16.53427049168339
2018-10-22,-16.534270491683394
2018-10-23,-16.49254700513285
2018-10-23,-16.49254700513285
2018-10-28,-16.014040007005754
2018-10-28,-16.014040007005757
2018-10-29,-15.881438498663389
2018-10-29,-15.881438498663385
2018-11-3,-15.47103212279804
2018-11-3,-15.471032122798043
2018-11-4,-15.496304751067017
2018-11-4,-15.496304751067013
2018-11-9,-15.933399834874464
2018-11-9,-15.933399834874468
2018-11-10,-16.003689490596763
2018-11-10,-16.00368949059676
2018-11-15,-16.2294915237901
2018-11-15,-16.229491523790106
2018-11-16,-16.302765199974278
2018-11-16,-16.302765199974278
2018-11-21,-16.752529429497226
2018-11-21,-16.752529429497226
2018-11-22,-16.793816529895736
2018-11-22,-16.793816529895736
2018-11-27,-16.5416665022054
2018-11-27,-16.541666502205405
2018-11-28,-16.427339973390804
2018-11-28,-16.427339973390808
2018-12-3,-15.910297744396917
2018-12-3,-15.910297744396916
2018-12-4,-15.871235454341898
2018-12-4,-15.871235454341898
2018-12-9,-16.36379371924932
2018-12-9,-16.363793719249323
2018-12-15,-17.57928156517281
2018-12-16,-17.620181276274153
2018-12-16,-17.620181276274156
2018-12-21,-17.094672253977098
2018-12-21,-17.094672253977098
2018-12-27,-16.451306995234667
2018-12-27,-16.451306995234667
2018-12-28,-16.45085809664504
2018-12-28,-16.450858096645035
2019-1-2,-16.793782813356046
2019-1-2,-16.793782813356046
2019-1-8,-17.12304577888413
2019-1-9,-17.06720698570924
2019-1-14,-16.470145163867294
2019-1-20,-16.348332286969796
2019-1-21,-16.41120594159328
2019-1-26,-16.82692958898651
2019-1-27,-16.9121965267206
2019-2-1,-17.124879511372665
2019-2-2,-17.10148495170572
2019-2-7,-16.707718199425432
2019-2-8,-16.596175615085805
2019-2-14,-15.982042503120972
2019-2-19,-16.12427014215941
2019-2-26,-16.777196365206134
2019-3-4,-16.6900550805819
2019-3-9,-17.19360857034111
2019-3-10,-17.309209629634786
2019-3-15,-17.83610219548775
2019-3-16,-17.9352481782047
2019-3-22,-18.2438328089857
2019-3-27,-17.407886290913027
2019-4-2,-16.38229445395762
2019-4-3,-16.348261242112674
2019-4-8,-16.459560630743116
2019-4-9,-16.475140447991137
2019-4-14,-16.37317326801886
2019-4-15,-16.35099292353834
2019-4-20,-16.412588849056807
2019-4-21,-16.44116886813349
2019-4-26,-16.421351460471083
2019-4-27,-16.367133934585457
2019-5-2,-15.930476538894876
2019-5-3,-15.840819166651961
2019-5-8,-15.518661491969786
2019-5-9,-15.475761617112576
2019-5-14,-15.21171458832916
2019-5-15,-15.11369025090758
2019-5-21,-14.149618420043602
2019-5-26,-13.96566874835622
2019-6-1,-14.207875636498398
2019-6-2,-14.191596476853936
2019-6-7,-13.978478057069298
2019-6-8,-13.952005668253316
2019-6-13,-14.129962435554898
2019-6-14,-14.214367585671042
2019-6-19,-14.503911737615937
2019-6-20,-14.494050087872994
2019-6-25,-14.18648163831309
2019-6-26,-14.121035581312908
2019-7-1,-14.00887349417569
2019-7-2,-14.025646833121227
2019-7-7,-14.210093888704092
2019-7-8,-14.25992420303131
2019-7-13,-14.440924672850167
2019-7-14,-14.43730351826037
2019-7-20,-14.202726183104641
2019-7-25,-14.160395935818006
2019-7-31,-14.04081403545248
2019-8-1,-14.05793024643349
2019-8-6,-14.2171887856745
2019-8-7,-14.21797110932102
2019-8-12,-13.976666193838147
2019-8-13,-13.915313757968136
2019-8-18,-13.753218431588955
2019-8-19,-13.739819796170629
2019-8-24,-13.655502882055728
2019-8-25,-13.649068769416008
2019-8-30,-13.974334104238519
2019-8-31,-14.129099409713287
2019-9-5,-14.931995936629402
2019-9-6,-15.014369081340229
2019-9-11,-14.914109227557871
2019-9-12,-14.841553074241254
2019-9-18,-14.581725514602047
2019-9-23,-14.71173474560788
2019-9-29,-15.079874976306515
2019-9-30,-15.196672000736665
2019-10-5,-15.9554434196385
2019-10-6,-16.09760913563173
